Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
group07,com0.trellobackend,TrelloBackendApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
group07,com0.trellobackend.service,UserServiceTest,Feature Envy,The tool detected a instance of this smell because testGetWorkspacesByUserId_ValidUser is more interested in members of the type: UserService
group07,com0.trellobackend.service,UserServiceTest,Feature Envy,The tool detected a instance of this smell because testGetWorkspacesByUserId_InvalidUser is more interested in members of the type: UserService
group07,com0.trellobackend.service,UserServiceTest,Feature Envy,The tool detected a instance of this smell because testAddWorkspaceToUserById_InvalidUser is more interested in members of the type: UserService
group07,com0.trellobackend.dto,TaskDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
group07,com0.trellobackend.dto,WorkspaceDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
group07,com0.trellobackend.dto,UserDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
group07,com0.trellobackend.controller,WorkspaceController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
group07,com0.trellobackend.controller,TaskController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
group07,com0.trellobackend.controller,BoardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
group07,com0.trellobackend.controller,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
group07,com0.trellobackend.model,User,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: userID; email; password; securityQuestion; securityAnswer; workSpaces; tasks
group07,com0.trellobackend.model,Workspace,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: workspace_id; name; description; boards; users
