Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
group07,com0.trellobackend,TrelloBackendApplicationTests,contextLoads,2,1,0,9,1,,
group07,com0.trellobackend,TrelloBackendApplication,main,3,1,1,10,0,,
group07,com0.trellobackend.service,BoardServiceTest,setUp,3,1,0,33,0,,
group07,com0.trellobackend.service,BoardServiceTest,testCreateBoard_ValidInput,13,1,0,38,1,,
group07,com0.trellobackend.service,BoardServiceTest,testFetchAllBoards_,14,1,0,60,1,,
group07,com0.trellobackend.service,BoardServiceTest,testGetBoards_ExistingWorkspaceId,15,1,0,82,1,,
group07,com0.trellobackend.service,BoardServiceTest,testGetBoards_NonExistingWorkspaceId,7,1,0,105,1,,
group07,com0.trellobackend.service,BoardServiceTest,testDeleteBoard_ExistingBoardId,14,1,0,121,1,,
group07,com0.trellobackend.service,BoardServiceTest,testDeleteBoard_NonExistingBoardId,7,1,0,144,1,,
group07,com0.trellobackend.service,BoardServiceTest,testEditBoard_ExistingBoard,11,1,0,159,1,,
group07,com0.trellobackend.service,BoardServiceTest,testEditBoard_NonExistingBoar,7,1,0,180,1,,
group07,com0.trellobackend.service,TaskServiceTest,setUp,3,1,0,44,0,,
group07,com0.trellobackend.service,TaskServiceTest,testCreateTask_validTask,13,1,0,49,1,,
group07,com0.trellobackend.service,TaskServiceTest,testCreateTask_NonExistingBoardId,13,1,0,73,1,,
group07,com0.trellobackend.service,TaskServiceTest,testCreateTask_WithoutTaskName,15,1,0,95,1,,
group07,com0.trellobackend.service,TaskServiceTest,testCreateTask_InvalidDueDate,15,1,0,121,1,,
group07,com0.trellobackend.service,TaskServiceTest,testGetTask_ValidBoardId,18,1,0,146,1,,
group07,com0.trellobackend.service,TaskServiceTest,testGetTask_InValidBoardId,10,1,0,176,1,,
group07,com0.trellobackend.service,TaskServiceTest,testUpdateStatus_existingTaskId,12,1,0,195,1,,
group07,com0.trellobackend.service,TaskServiceTest,testUpdateStatus_validWithDone,12,1,0,215,1,,
group07,com0.trellobackend.service,TaskServiceTest,testUpdateStatus_nonExistingTaskId,11,1,0,235,1,,
group07,com0.trellobackend.service,TaskServiceTest,testUpdateStatus_invalidStatus,15,1,0,256,1,,
group07,com0.trellobackend.service,TaskServiceTest,assignUserToTask_validCase,23,1,0,282,1,,
group07,com0.trellobackend.service,TaskServiceTest,testAssignUserToTask_NonExistingUser,12,1,0,320,1,,
group07,com0.trellobackend.service,TaskServiceTest,testAssignUserToTask_NonExistingTask,15,1,0,343,1,,
group07,com0.trellobackend.service,TaskServiceTest,testAssignUserToTask_UserNotInWorkspace,22,1,0,370,1,,
group07,com0.trellobackend.service,TaskServiceTest,testAssignUserToTask_UserAlreadyAssigned,25,1,0,408,1,,
group07,com0.trellobackend.service,TaskServiceTest,testUpdateDueDate_ValidCase,12,1,0,449,1,,
group07,com0.trellobackend.service,TaskServiceTest,testUpdateDueDate_InvalidDueDate,15,1,0,470,1,,
group07,com0.trellobackend.service,TaskServiceTest,testUpdateDueDate_NonExistingTaskId,12,1,0,494,1,,
group07,com0.trellobackend.service,UserServiceTest,setUp,3,1,0,37,0,,
group07,com0.trellobackend.service,UserServiceTest,testCreateUser_NewUser,13,1,0,43,1,,
group07,com0.trellobackend.service,UserServiceTest,testLoginUser_ValidCredentials,12,1,0,68,1,,
group07,com0.trellobackend.service,UserServiceTest,testLoginUser_InvalidUser,9,1,0,88,1,,
group07,com0.trellobackend.service,UserServiceTest,testLoginUser_InvalidPassword,13,1,0,105,1,,
group07,com0.trellobackend.service,UserServiceTest,testFetchAllUsers_EmptyArray,8,1,0,132,1,,
group07,com0.trellobackend.service,UserServiceTest,testFetchAllUsers_NotEmptyArray,10,1,0,149,1,,
group07,com0.trellobackend.service,UserServiceTest,testGetUserByID_ValidUser,9,1,0,171,1,,
group07,com0.trellobackend.service,UserServiceTest,testGetUserByID_InvalidUser,6,1,0,185,1,,
group07,com0.trellobackend.service,UserServiceTest,testGetWorkspacesByUserId_ValidUser,19,1,0,199,1,,
group07,com0.trellobackend.service,UserServiceTest,testGetWorkspacesByUserId_InvalidUser,6,1,0,230,1,,
group07,com0.trellobackend.service,UserServiceTest,testAddWorkspaceToUserById_ValidWorkspace,18,1,0,247,1,,
group07,com0.trellobackend.service,UserServiceTest,testAddWorkspaceToUserById_InvalidUser,8,1,0,275,1,,
group07,com0.trellobackend.service,UserServiceTest,assignWorkspaceByEmail_ValidEmailAndWorkspace_ReturnsWorkspace,14,1,0,290,1,,
group07,com0.trellobackend.service,UserServiceTest,assignWorkspaceByEmail_InvalidEmail,8,1,0,314,1,,
group07,com0.trellobackend.service,UserServiceTest,assignWorkspaceByEmail_InvalidWorkspace,10,1,0,330,1,,
group07,com0.trellobackend.service,UserServiceTest,assignWorkspaceByEmail_WorkspaceAlreadyAssigned,14,1,0,348,1,,
group07,com0.trellobackend.service,UserServiceTest,testResetPassword_ValidUser,15,1,0,373,1,,
group07,com0.trellobackend.service,UserServiceTest,testResetPassword_UserNotFound,10,1,0,398,1,,
group07,com0.trellobackend.service,UserServiceTest,testResetPassword_IncorrectAnswer,14,1,0,416,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,setUp,3,1,0,33,0,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testFindWorkSpacebyID_ExistingWorkspaceId,10,1,0,38,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testFindWorkSpacebyID_NonExistingWorkspaceId,7,1,0,57,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testCreateWorkspace_ValidInput,9,1,0,72,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testDeleteWorkspace_ExistingWorkspaceId,23,2,0,89,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testDeleteWorkspace_NonExistingWorkspaceId,7,1,0,126,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testRenameWorkspace_ExistingWorkspace,11,1,0,140,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testRenameWorkspace_NonExistingWorkspace,8,1,0,160,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testUpdateDescription_ExistingWorkspace,11,1,0,176,1,,
group07,com0.trellobackend.service,WorkspaceServiceTest,testUpdateDescription_NonExistingWorkspace,8,1,0,198,1,,
