Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
group07,com0.trellobackend,TrelloBackendApplicationTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
group07,com0.trellobackend,TrelloBackendApplicationTests,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.
group07,com0.trellobackend.service,BoardServiceTest,testCreateBoard_ValidInput,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,BoardServiceTest,testDeleteBoard_ExistingBoardId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testCreateTask_NonExistingBoardId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testCreateTask_WithoutTaskName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testCreateTask_InvalidDueDate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testGetTask_InValidBoardId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testUpdateStatus_nonExistingTaskId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testUpdateStatus_invalidStatus,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,assignUserToTask_validCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testAssignUserToTask_NonExistingUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testAssignUserToTask_NonExistingTask,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testAssignUserToTask_UserNotInWorkspace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testAssignUserToTask_UserAlreadyAssigned,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testUpdateDueDate_InvalidDueDate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,TaskServiceTest,testUpdateDueDate_NonExistingTaskId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,UserServiceTest,testCreateUser_NewUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
group07,com0.trellobackend.service,UserServiceTest,testLoginUser_ValidCredentials,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,UserServiceTest,testFetchAllUsers_EmptyArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,UserServiceTest,testFetchAllUsers_NotEmptyArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
group07,com0.trellobackend.service,UserServiceTest,testGetUserByID_ValidUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,UserServiceTest,testGetWorkspacesByUserId_ValidUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
group07,com0.trellobackend.service,UserServiceTest,testAddWorkspaceToUserById_ValidWorkspace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
group07,com0.trellobackend.service,UserServiceTest,assignWorkspaceByEmail_ValidEmailAndWorkspace_ReturnsWorkspace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group07,com0.trellobackend.service,UserServiceTest,testResetPassword_ValidUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
